,ID,Group,Feature_1,Feature_2,Feature_3
0,ID000,A,2824,366,6642
1,ID001,B,2228,425,4456
2,ID002,C,2241,400,-1841
3,ID003,B,2203,398,4406
4,ID004,B,2430,398,4860
5,ID005,A,2220,398,4670
6,ID006,B,2477,406,4954
7,ID007,B,2158,390,4316
8,ID008,A,2593,393,5814
9,ID009,B,2780,404,5560
10,ID010,C,3373,413,-2960
11,ID011,A,2943,394,6859
12,ID012,A,1658,407,2939
13,ID013,A,2177,419,4436
14,ID014,A,3055,404,7145
15,ID015,A,2608,379,5929
16,ID016,A,2459,405,5352
17,ID017,A,2821,368,6623
18,ID018,B,1978,384,3956
19,ID019,A,2783,396,6369
20,ID020,B,2586,415,5172
21,ID021,A,2426,372,5418
22,ID022,A,2493,383,5564
23,ID023,C,2420,397,-2023
24,ID024,A,2410,417,5145
25,ID025,A,2715,376,6265
26,ID026,A,2309,416,4847
27,ID027,B,2454,415,4908
28,ID028,A,2394,404,5162
29,ID029,B,2641,394,5282
30,ID030,C,2684,416,-2268
31,ID031,B,2436,424,4872
32,ID032,C,2824,384,-2440
33,ID033,B,2723,398,5446
34,ID034,A,2357,404,5051
35,ID035,C,2367,393,-1974
36,ID036,C,2305,388,-1917
37,ID037,B,2002,416,4004
38,ID038,C,3298,394,-2904
39,ID039,C,2765,393,-2372
40,ID040,A,2626,408,5838
41,ID041,A,2270,407,4775
42,ID042,C,2490,417,-2073
43,ID043,B,2606,399,5212
44,ID044,B,2526,416,5052
45,ID045,A,2305,411,4860
46,ID046,A,2427,401,5276
47,ID047,C,2663,372,-2291
48,ID048,A,1922,372,3906
49,ID049,B,2833,372,5666
50,ID050,B,2794,411,5588
51,ID051,C,1968,385,-1583
52,ID052,A,2153,395,4484
53,ID053,C,2287,419,-1868
54,ID054,C,2698,410,-2288
55,ID055,C,2145,397,-1748
56,ID056,A,2751,389,6308
57,ID057,C,2802,389,-2413
58,ID058,C,2550,408,-2142
59,ID059,B,2935,407,5870
60,ID060,B,2764,400,5528
61,ID061,C,2134,406,-1728
62,ID062,B,2773,395,5546
63,ID063,B,2518,400,5036
64,ID064,A,2379,386,5207
65,ID065,C,2471,397,-2074
66,ID066,A,3160,393,7515
67,ID067,B,2930,413,5860
68,ID068,C,2388,398,-1990
69,ID069,A,2461,402,5373
70,ID070,A,2542,412,5566
71,ID071,B,2815,368,5630
72,ID072,B,2316,416,4632
73,ID073,B,2405,395,4810
74,ID074,C,2459,393,-2066
75,ID075,A,2520,363,5745
76,ID076,C,2764,401,-2363
77,ID077,C,2075,392,-1683
78,ID078,B,2747,412,5494
79,ID079,A,2521,399,5568
80,ID080,B,1796,421,3592
81,ID081,B,2059,415,4118
82,ID082,C,2447,430,-2017
83,ID083,A,2043,387,4194
84,ID084,B,2691,386,5382
85,ID085,B,3388,403,6776
86,ID086,B,2945,398,5890
87,ID087,A,2240,402,4710
88,ID088,B,3220,425,6440
89,ID089,B,2383,390,4766
90,ID090,B,2481,385,4962
91,ID091,C,2122,377,-1745
92,ID092,B,2810,417,5620
93,ID093,A,2305,391,4960
94,ID094,C,2714,439,-2275
95,ID095,C,2078,431,-1647
96,ID096,B,2348,420,4696
97,ID097,B,2603,405,5206
98,ID098,C,2065,389,-1676
99,ID099,A,2340,402,5010
100,ID100,C,2122,386,-1736
101,ID101,C,2433,404,-2029
102,ID102,A,2349,395,5072
103,ID103,C,2559,425,-2134
104,ID104,B,3053,392,6106
105,ID105,B,2994,412,5988
106,ID106,B,2545,404,5090
107,ID107,C,2432,426,-2006
108,ID108,A,2411,374,5363
109,ID109,C,2584,415,-2169
110,ID110,A,2413,393,5274
111,ID111,C,2238,398,-1840
112,ID112,A,2499,392,5537
113,ID113,A,2696,376,6208
114,ID114,B,2734,384,5468
115,ID115,C,2687,384,-2303
116,ID116,C,2244,398,-1846
117,ID117,A,2691,400,6073
118,ID118,C,2199,398,-1801
119,ID119,A,2029,389,4142
120,ID120,B,2151,392,4302
121,ID121,B,2330,401,4660
122,ID122,A,2560,403,5665
123,ID123,C,2505,395,-2110
124,ID124,C,2534,396,-2138
125,ID125,A,2213,393,4674
126,ID126,A,2282,407,4811
127,ID127,A,2194,394,4612
128,ID128,B,2670,410,5340
129,ID129,A,2958,378,6984
130,ID130,A,2521,411,5508
131,ID131,B,2600,398,5200
132,ID132,B,2443,394,4886
133,ID133,C,2390,392,-1998
134,ID134,A,2551,405,5628
135,ID135,C,2428,400,-2028
136,ID136,A,2265,408,4755
137,ID137,C,2744,411,-2333
138,ID138,B,2128,396,4256
139,ID139,B,2384,397,4768
140,ID140,A,2248,403,4729
